
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006053                       # Number of seconds simulated (Second)
simTicks                                   6052981500                       # Number of ticks simulated (Tick)
finalTick                                  6052981500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     56.80                       # Real time elapsed on the host (Second)
hostTickRate                                106559809                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     677540                       # Number of bytes of host memory used (Byte)
simInsts                                     18175026                       # Number of instructions simulated (Count)
simOps                                       18175032                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   319962                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     319962                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         12105964                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.666077                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.501328                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        18584417                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       88                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       18360084                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     90                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               409472                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            345520                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  39                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12070343                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.521090                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.494192                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3874672     32.10%     32.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3481912     28.85%     60.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1523953     12.63%     73.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1228567     10.18%     83.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1718786     14.24%     97.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    203728      1.69%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     26989      0.22%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5041      0.04%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6695      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12070343                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      59      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  16765      2.38%      2.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1136      0.16%      2.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.55% # attempts to use FU when none available (Count)
