
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000152                       # Number of seconds simulated (Second)
simTicks                                    151746000                       # Number of ticks simulated (Tick)
finalTick                                   151746000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.96                       # Real time elapsed on the host (Second)
hostTickRate                                157864349                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680884                       # Number of bytes of host memory used (Byte)
simInsts                                       196928                       # Number of instructions simulated (Count)
simOps                                         197083                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204838                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     204997                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           151749                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.770581                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.297722                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          229978                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      834                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         219580                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    249                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                33728                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19769                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 123                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              122506                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.792402                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.941831                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     47090     38.44%     38.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     18778     15.33%     53.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     18329     14.96%     68.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     12391     10.11%     78.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     12054      9.84%     88.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7895      6.44%     95.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3359      2.74%     97.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1754      1.43%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       856      0.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                122506                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     210      6.17%      6.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     11      0.32%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      6.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      6.49% # attempts to use FU when none available (Count)
